,Theta,alpha,amp_p,bar_p,folder,r
0,0.05011872336272722,0.15707963267948966,1.387613924810791e-05,8.084175442128013e-06,case090,0.95
1,0.05011872336272722,0.3141592653589793,1.5865845077924114e-05,9.238201999883294e-06,case091,0.95
2,0.05011872336272722,0.471238898038469,1.6516953925335556e-05,9.584607257384929e-06,case092,0.95
3,0.05011872336272722,0.6283185307179586,1.6553586831537616e-05,9.633308752318057e-06,case093,0.95
4,0.05011872336272722,0.7853981633974483,1.6669570962793327e-05,9.761723917995194e-06,case094,0.95
5,0.05011872336272722,0.9424777960769379,1.6694119439416273e-05,9.808073951475657e-06,case095,0.95
6,0.05011872336272722,1.0995574287564276,1.6657242422172902e-05,9.766120876145975e-06,case096,0.95
7,0.05011872336272722,1.2566370614359172,1.6656176862221555e-05,9.73540553969891e-06,case097,0.95
8,0.05011872336272722,1.413716694115407,1.67182771927345e-05,9.846272539245958e-06,case098,0.95
9,0.05011872336272722,1.5707963267948966,1.6737895041000475e-05,9.8048577847351e-06,case099,0.95
10,0.06473082037010398,0.15707963267948966,2.5969786514311357e-05,1.643731955217439e-05,case190,0.95
11,0.06473082037010398,0.3141592653589793,2.968885489142439e-05,1.9149973251051652e-05,case191,0.95
12,0.06473082037010398,0.471238898038469,3.0720011300284456e-05,1.9816486054842108e-05,case192,0.95
13,0.06473082037010398,0.6283185307179586,3.108406282855109e-05,2.0079364154089934e-05,case193,0.95
14,0.06473082037010398,0.7853981633974483,3.115419936421694e-05,2.018430160758893e-05,case194,0.95
15,0.06473082037010398,0.9424777960769379,3.1197005925476824e-05,2.0142565197558594e-05,case195,0.95
16,0.06473082037010398,1.0995574287564276,3.1215702281893024e-05,2.0332652582372883e-05,case196,0.95
17,0.06473082037010398,1.2566370614359172,3.121384715044784e-05,2.0342723605887936e-05,case197,0.95
18,0.06473082037010398,1.413716694115407,3.116759582462905e-05,2.0450737553330407e-05,case198,0.95
19,0.06473082037010398,1.5707963267948966,3.121844832413333e-05,2.0583865036890333e-05,case199,0.95
20,0.08360306936514639,0.15707963267948966,5.06237804361438e-05,3.162701198954436e-05,case290,0.95
21,0.08360306936514639,0.3141592653589793,5.584602519043454e-05,3.923626248210173e-05,case291,0.95
22,0.08360306936514639,0.471238898038469,5.800858751045161e-05,4.048983734873978e-05,case292,0.95
23,0.08360306936514639,0.6283185307179586,5.879637558731526e-05,4.122608313729715e-05,case293,0.95
24,0.08360306936514639,0.7853981633974483,5.926071996388733e-05,4.13078760539501e-05,case294,0.95
25,0.08360306936514639,0.9424777960769379,5.902508479315879e-05,4.138695178429432e-05,case295,0.95
26,0.08360306936514639,1.0995574287564276,5.90539276205843e-05,4.146642113802913e-05,case296,0.95
27,0.08360306936514639,1.2566370614359172,5.890520813043453e-05,4.170973487810958e-05,case297,0.95
28,0.08360306936514639,1.413716694115407,5.908163463494783e-05,4.171671312887708e-05,case298,0.95
29,0.08360306936514639,1.5707963267948966,5.868528823013962e-05,4.160179104793586e-05,case299,0.95
30,0.10797751623277094,0.15707963267948966,9.559186464088841e-05,5.7428777875802176e-05,case390,0.95
31,0.10797751623277094,0.3141592653589793,0.00010542652428557965,8.003774370911145e-05,case391,0.95
32,0.10797751623277094,0.471238898038469,0.00011008711354634906,8.220187633868175e-05,case392,0.95
33,0.10797751623277094,0.6283185307179586,0.00011168908747985826,8.309890928191704e-05,case393,0.95
34,0.10797751623277094,0.7853981633974483,0.00011218313054219547,8.342925861995621e-05,case394,0.95
35,0.10797751623277094,0.9424777960769379,0.00011267280812755947,8.3826018554013e-05,case395,0.95
36,0.10797751623277094,1.0995574287564276,0.00011214245342491349,8.38460160513539e-05,case396,0.95
37,0.10797751623277094,1.2566370614359172,0.00011170549122480732,8.438778406728697e-05,case397,0.95
38,0.10797751623277094,1.413716694115407,0.00011188514864990756,8.456159988156312e-05,case398,0.95
39,0.10797751623277094,1.5707963267948966,0.0001115109873019174,8.418911489236928e-05,case399,0.95
40,0.1394583249195745,0.15707963267948966,0.00017287331212592386,0.00010306226472633751,case490,0.95
41,0.1394583249195745,0.3141592653589793,0.00020026566295876756,0.0001643996616332889,case491,0.95
42,0.1394583249195745,0.471238898038469,0.00021195349191309505,0.00016490247819433325,case492,0.95
43,0.1394583249195745,0.6283185307179586,0.00021528124211172336,0.00016637207661509323,case493,0.95
44,0.1394583249195745,0.7853981633974483,0.00021699719106590292,0.0001671701321606491,case494,0.95
45,0.1394583249195745,0.9424777960769379,0.00021682134475851968,0.00016742432957545737,case495,0.95
46,0.1394583249195745,1.0995574287564276,0.00021668733177127885,0.00016802666923906024,case496,0.95
47,0.1394583249195745,1.2566370614359172,0.00021558497968910748,0.00016862930804787294,case497,0.95
48,0.1394583249195745,1.413716694115407,0.00021541864447584784,0.00016920866530185382,case498,0.95
49,0.1394583249195745,1.5707963267948966,0.0002153336085315941,0.00016979658334944617,case499,0.95
50,0.1801173528334133,0.15707963267948966,0.0003266093862554553,0.00017800386787339387,case590,0.95
51,0.1801173528334133,0.3141592653589793,0.0004166915491173868,0.00029659982684836705,case591,0.95
52,0.1801173528334133,0.471238898038469,0.00040041167695898283,0.0003348026219567581,case592,0.95
53,0.1801173528334133,0.6283185307179586,0.0004130956488628024,0.00033245236392441107,case593,0.95
54,0.1801173528334133,0.7853981633974483,0.00041686585281888305,0.00033301415374683923,case594,0.95
55,0.1801173528334133,0.9424777960769379,0.00041659953292895626,0.0003338462948459407,case595,0.95
56,0.1801173528334133,1.0995574287564276,0.00041581042821445843,0.00033404168090116155,case596,0.95
57,0.1801173528334133,1.2566370614359172,0.00041374322135978597,0.00033433169902883985,case597,0.95
58,0.1801173528334133,1.413716694115407,0.0004122339953936426,0.00033619339406881733,case598,0.95
59,0.1801173528334133,1.5707963267948966,0.0004150041133894766,0.00033560509295416964,case599,0.95
60,0.23263050671536256,0.15707963267948966,0.0005811786562732361,0.00030366682970189114,case690,0.95
61,0.23263050671536256,0.3141592653589793,0.0007145614304690785,0.0005926675916789323,case691,0.95
62,0.23263050671536256,0.471238898038469,0.0008434600195354081,0.0006214617834923491,case692,0.95
63,0.23263050671536256,0.6283185307179586,0.0007930825873112701,0.0006670153822907809,case693,0.95
64,0.23263050671536256,0.7853981633974483,0.0008013754062769798,0.0006647117524776116,case694,0.95
65,0.23263050671536256,0.9424777960769379,0.0008051450876254917,0.0006672956133587323,case695,0.95
66,0.23263050671536256,1.0995574287564276,0.0008046782287827692,0.0006672554439671838,case696,0.95
67,0.23263050671536256,1.2566370614359172,0.0008022298557783502,0.0006682033628097582,case697,0.95
68,0.23263050671536256,1.413716694115407,0.0007969859289113233,0.000671690225978683,case698,0.95
69,0.23263050671536256,1.5707963267948966,0.0008036603116396032,0.0006689184452810246,case699,0.95
70,0.3004538530204692,0.15707963267948966,0.0009891751872276849,0.0005353224958924797,case790,0.95
71,0.3004538530204692,0.3141592653589793,0.0014132010260295754,0.0011765739621189847,case791,0.95
72,0.3004538530204692,0.471238898038469,0.0014855352293806914,0.0012553801634108306,case792,0.95
73,0.3004538530204692,0.6283185307179586,0.0015909642910272059,0.001291684420610768,case793,0.95
74,0.3004538530204692,0.7853981633974483,0.001591432615872949,0.0013085951148740134,case794,0.95
75,0.3004538530204692,0.9424777960769379,0.0015814456085232866,0.001320363772349024,case795,0.95
76,0.3004538530204692,1.0995574287564276,0.0015812500976377709,0.0013199284128362781,case796,0.95
77,0.3004538530204692,1.2566370614359172,0.0015834511177777314,0.001327108966831037,case797,0.95
78,0.3004538530204692,1.413716694115407,0.001576206164827888,0.0013364316661956628,case798,0.95
79,0.3004538530204692,1.5707963267948966,0.001562378394604215,0.0013283322841421328,case799,0.95
80,0.3880510732210182,0.15707963267948966,0.0016951890981771142,0.0009740883107253056,case890,0.95
81,0.3880510732210182,0.3141592653589793,0.0029541516338342623,0.0022672610507601582,case891,0.95
82,0.3880510732210182,0.471238898038469,0.0030122767053819537,0.0024922757400488724,case892,0.95
83,0.3880510732210182,0.6283185307179586,0.0033272708689947254,0.002517728693449371,case893,0.95
84,0.3880510732210182,0.7853981633974483,0.0033617069577146492,0.0025949899817205575,case894,0.95
85,0.3880510732210182,0.9424777960769379,0.003218914557749346,0.0026440455100340096,case895,0.95
86,0.3880510732210182,1.0995574287564276,0.003225521917570148,0.0026252047565242568,case896,0.95
87,0.3880510732210182,1.2566370614359172,0.003246264310349296,0.002635551646789868,case897,0.95
88,0.3880510732210182,1.413716694115407,0.003274138876465731,0.002635610560887748,case898,0.95
89,0.3880510732210182,1.5707963267948966,0.0032339090447465616,0.0026506540758044587,case899,0.95
90,0.5011872336272722,0.15707963267948966,0.002859380587093408,0.0018983563556810024,case990,0.95
91,0.5011872336272722,0.3141592653589793,0.006686581393904177,0.003584595948838781,case991,0.95
92,0.5011872336272722,0.471238898038469,0.0060305340178173645,0.004879912184872883,case992,0.95
93,0.5011872336272722,0.6283185307179586,0.00668763452452508,0.004963453957395602,case993,0.95
94,0.5011872336272722,0.7853981633974483,0.0069007670317155715,0.005197815066618008,case994,0.95
95,0.5011872336272722,0.9424777960769379,0.006449736399726571,0.005216449160854095,case995,0.95
96,0.5011872336272722,1.0995574287564276,0.006536102894994192,0.005146232346437713,case996,0.95
97,0.5011872336272722,1.2566370614359172,0.006509826827232845,0.005119316567863753,case997,0.95
98,0.5011872336272722,1.413716694115407,0.006595438688630769,0.005086932049049961,case998,0.95
99,0.5011872336272722,1.5707963267948966,0.0065993424182304,0.005067448243208742,case999,0.95
